English_visitor_site_name,Organisation,URL,X,Y,Description,Lines,Town,County,Country,Postcode,Region,Period
Badbury Rings,National Trust,https://www.nationaltrust.org.uk/kingston-lacy/features/badbury-rings,2.0583,50.8272,TBC,--,--,--,--,--,South West,
Beesands to Hallsands,National Trust,https://www.nationaltrust.org.uk/place-pages/6076/pages/opening-times-calendar,-3.659649,50.24369,Discover the haunting remains of the lost village of Hallsands,--,Beesands,Devon,England,TQ7,South West,
Bodysgallen Hall and Spa,National Trust,https://www.nationaltrust.org.uk/holidays/bodysgallen-hall-and-spa-north-wales,-3.802557,53.296799,"Bodysgallen Hall Hotel Restaurant & Spa, C17th Grade 1 listed set in 220 acres",The Royal Welsh Way,Llandudno,Conwy,Wales,LL30 1RS,Wales,
Combe Wood,National Trust,https://www.nationaltrust.org.uk/shute-barton/features/combe-wood,-3.191013,50.80767,Escape the bustle and enjoy a secluded woodland walk,--,near Honiton,Devon,England,EX14,South West,
Dumpdon Hill Fort,National Trust,https://www.nationaltrust.org.uk/shute-barton/features/dumpdon-hill-fort,-3.169994,50.831461,An ancient hill fort with views over the Otter Valley,Dumpdon Lane; near Beacon,Honiton,Devon,England,EX14,South West,
Eifionydd,National Trust,https://www.nationaltrust.org.uk/features/hafod-garegog-tree-nursery,-4.334769,53.081867,Snowdon's pastoral foothills reach down to the sea,--,Dinas Dinlle,Gwynedd,Wales,LL54,Wales,
Finchampstead Ridges,National Trust,https://www.nationaltrust.org.uk/runnymede/features/finchampstead-ridges,-0.839402349,51.36420527,Finchampstead Ridges,--,--,--,--,--,--,
Middlethorpe Hall and Spa,National Trust,https://www.nationaltrust.org.uk/holidays/middlethorpe-hall-and-spa-york,-1.088655,53.93051,"Middlethorpe Hall Hotel Restaurant & Spa, handsome William and Mary country house set in 20 acres of garden and parkland within the City of Yorkâ€¦",Bishopthorpe Road,York,North Yorkshire,England,YO23 2GB,Yorkshire and North East,
Morston Quay,National Trust,https://www.nationaltrust.org.uk/morston-quay,0.98656,52.956741,Explore the Norfolk Coast from Morston Quay,Morston Quay; Quay Lane,Holt,Norfolk,--,NR25 7BH,East of England,
Northumberland Coast,National Trust,https://www.nationaltrust.org.uk/days-out/northumberland-coast,-1.594529286,55.48078075,TBC,--,--,--,--,--,--,
Outridge Farm,National Trust,https://www.nationaltrust.org.uk/holidays/octavia-hill-kent,0.100372,51.253806,A traditional English landscape,Piper's Green Road; Brasted,Westerham,Kent,England,TN16 1ND,London and South East,
Paxton's Tower,National Trust,https://www.nationaltrust.org.uk/features/feel-on-top-of-the-world-at-paxtons-tower-,-4.11978,51.851831,"Neo-Gothic folly erected in honour of Lord Nelson, situated on a hilltop near Llanarthney in the Towy Valley",Llanarthney,Carmarthen,Carmarthenshire,Wales,--,Wales,
Porth Meudwy,National Trust,https://www.nationaltrust.org.uk/features/porth-meudwy,-4.532271,52.847872,It was from here that the Pilgrims set out to Ynys Enlli (Bardsey Island),near Aberdaron,--,Gwynedd,Wales,--,Wales,
Ringmore and Kingston,National Trust,https://www.nationaltrust.org.uk/noss-mayo/features/ringmore-and-kingston,-3.90933,50.295425,"A secluded, unspolit beach at Ayrmer",Ringmore,Kingsbridge,Devon,England,TQ7,South West,
Salcombe to Hope Cove,National Trust,https://www.nationaltrust.org.uk/east-soar/trails/bolt-head-walk,-3.839207,50.231093,"A coastline of dramatic cliffs, open farmland and sandy coves",--,Salcombe,Devon,England,--,South West,
St George's Guildhall,National Trust,https://www.nationaltrust.org.uk/st-georges-guildhall,0.39507,52.755199,Rare large medieval guildhall,29 King Street,King's Lynn,Norfolk,England,PE30 1HA,East of England,
Stembridge Tower Mill,National Trust,https://www.nationaltrust.org.uk/stembridge-tower-mill,-2.80628,51.070301,The last remaining thatched windmill in England,--,High Ham,Somerset,England,TA10 9DJ,South West,
Sundon Hills Country Park,National Trust,https://www.nationaltrust.org.uk/sharpenhoe,-0.476063,51.946487,One of the highest points in Bedfordshire,Harlington Road,Upper Sundon,Bedfordshire,England,--,East of England,
Totternhoe Knolls,National Trust,https://www.nationaltrust.org.uk/lists/walking-in-essex-bedfordshire-and-hertfordshire,-0.569598,51.885604,Totternhoe Knolls sits within an important medieval quarrying area,Castle Hill Road,Totternhoe,Bedfordshire,England,--,East of England,
Ynys Mon Coast and Countryside,National Trust,https://www.nationaltrust.org.uk/lists/top-10-welsh-autumn-adventures,-4.517091,53.412641,TBC,--,--,Anglesey,Wales,--,Wales,
Pike Hill Signal Tower,English Heritage,https://www.english-heritage.org.uk/visit/places/#?page=1&place=Pike%20Hill%20Signal%20Tower&mp=false&fe=false,-2.662409034,54.97600589,Structure,,,,,,Hadrian's Wall,Roman
"1066 Battle of Hastings, Abbey and Battlefield",English Heritage,https://www.english-heritage.org.uk/visit/places/1066-Battle-of-Hastings-Abbey-and-Battlefield,0.487843692,50.91426667,Abbey,,,,,,South East,Medieval
Abbotsbury Abbey,English Heritage,https://www.english-heritage.org.uk/visit/places/abbotsbury-abbey-remains/,-2.59847302,50.66493466,Abbey,,,,,,South West,Medieval
"Abbotsbury, St Catherine's Chapel",English Heritage,https://www.english-heritage.org.uk/visit/places/Abbotsbury-St-Catherines-Chapel,-2.605501479,50.6613012,Chapel,,,,,,South West,Medieval
Abingdon County Hall Museum,English Heritage,https://www.english-heritage.org.uk/visit/places/Abingdon-County-Hall-Museum,-1.281248715,51.67047719,House,,,,,,South East,Post medieval
Acton Burnell Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Acton-Burnell-Castle,-2.689681707,52.61286693,Castle,,,,,,West Midlands,Medieval
Aldboroough Roman Site,English Heritage,https://www.english-heritage.org.uk/visit/places/aldborough-roman-site/,-1.382297496,54.09012358,Structure,,,,,,Yorkshire & the Humber,Roman
Avebury Alexander Keiller Museum,English Heritage,https://www.english-heritage.org.uk/visit/places/alexander-keiller-museum-avebury/,-1.858989653,51.42892336,Structure (museum),,,,,,South West,Prehistoric
Ambleside Roman Fort,English Heritage,https://www.english-heritage.org.uk/visit/places/Ambleside-Roman-Fort,-2.969439742,54.42214229,Structure/Fort,,,,,,North West,Roman
Apethorpe  Palace,English Heritage,https://www.english-heritage.org.uk/visit/places/Apethorpe-Palace,-0.492553475,52.54685145,House,,,,,,East Midlands,Post medieval
Appuldurcombe House,English Heritage,https://www.english-heritage.org.uk/visit/places/Appuldurcombe-House,-1.233803561,50.61719263,House,,,,,,South East,Post medieval
Apsley House,English Heritage,https://www.english-heritage.org.uk/visit/places/Apsley-House,-0.150940986,51.5034606,House,,,,,,London,Post medieval
Arbor Low Stone Circle and Gib Hill Barrow,English Heritage,https://www.english-heritage.org.uk/visit/places/Arbor-Low-Stone-Circle-and-Gib-Hill-Barrow,-1.762110955,53.16928046,Structure,,,,,,East Midlands,Prehistoric
Arthur's Stone,English Heritage,https://www.english-heritage.org.uk/visit/places/Arthurs-Stone,-2.995271365,52.08205167,Structure,,,,,,West Midlands,Prehistoric
Ashby de la Zoucg Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/ashby-de-la-zouch-castle/,-1.466656028,52.74582598,Castle,,,,,,East Midlands,Medieval
Auckland Castle Deer House,English Heritage,https://www.english-heritage.org.uk/visit/places/Auckland-Castle-Deer-House,-1.666616339,54.66822012,Structure,,,,,,North East,Post medieval
Audley End House and Gardens,English Heritage,https://www.english-heritage.org.uk/visit/places/Audley-End-House-and-Gardens,0.221962155,52.02126704,House,,,,,,East,Post medieval
Avebury Henge and Stone Circles,English Heritage,https://www.english-heritage.org.uk/visit/places/avebury/,-1.854674509,51.4289181,Structure,,,,,,South West,Prehistoric
Aydon Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Aydon-Castle,-1.999969614,54.99129012,Castle,,,,,,North East,Medieval
Baconsthorpe Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Baconsthorpe-Castle,1.154514889,52.89937405,House,,,,,,East,Medieval
Ballowall Barrow,English Heritage,https://www.english-heritage.org.uk/visit/places/Ballowall-Barrow,-5.705552075,50.12180578,Structure,,,,,,South West,Prehistoric
Banks East Turret,English Heritage,https://www.english-heritage.org.uk/visit/places/banks-east-turret-hadrians-wall/,-2.665518872,54.97509027,Structure,,,,,,Hadrian's Wall,Roman
Bant's Carn Burial and Halangy down Ancient Village,English Heritage,https://www.english-heritage.org.uk/visit/places/bants-carn-burial-chamber-and-halangy-down-ancient-village/,-6.313346535,49.93081871,Structure,,,,,,South West,Prehistoric
Barnard Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Barnard-Castle,-1.925771915,54.54373972,Castle,,,,,,North East,Medieval
"Dartmouth, Bayard's Cove Fort",English Heritage,https://www.english-heritage.org.uk/visit/places/bayards-cove-fort/,-3.577195141,50.3473176,Castle,,,,,,South West,Post medieval
Bayham Old Abbey,English Heritage,https://www.english-heritage.org.uk/visit/places/Bayham-Old-Abbey,0.356418589,51.10406034,Abbey,,,,,,South East,Medieval
Beeston Castle and Woodland Park,English Heritage,https://www.english-heritage.org.uk/visit/places/Beeston-Castle-and-Woodland-Park,-2.693434436,53.12884454,Castle,,,,,,North West,Medieval/Post medieval
Belas Knap Long Barrow,English Heritage,https://www.english-heritage.org.uk/visit/places/Belas-Knap-Long-Barrow,-1.970868456,51.92711616,Structure,,,,,,South West,Prehistoric
"Belsay Hall, Castle and Gardens",English Heritage,https://www.english-heritage.org.uk/visit/places/Belsay-Hall-Castle-and-Gardens,-1.866761811,55.10084783,House,,,,,,North East,Post medieval
Benwell Roman Temple,English Heritage,https://www.english-heritage.org.uk/visit/places/benwell-roman-temple-hadrians-wall/,-1.662507382,54.97644477,Structure,,,,,,Hadrian's Wall,Roman
Berkhamstead Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/berkhamsted-castle/,-0.55938738,51.76365436,Castle,,,,,,East,Medieval
Berney Arms Windmill,English Heritage,https://www.english-heritage.org.uk/visit/places/Berney-Arms-Windmill,1.641239618,52.58597345,Structure,,,,,,East,Post medieval
Berry Pomeroy Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Berry-Pomeroy-Castle,-3.636952461,50.4490221,Castle,,,,,,South West,Medieval/Post medieval
Berwick Upon Tweed Barracks,English Heritage,https://www.english-heritage.org.uk/visit/places/berwick-upon-tweed-barracks-and-main-guard/,-1.999974197,55.77123953,Structure,,,,,,North East,Post medieval
Berwick Upon Tween Main Guard,English Heritage,https://www.english-heritage.org.uk/visit/places/berwick-upon-tweed-barracks-and-main-guard/,-2.001567886,55.7658485,Structure,,,,,,North East,Post medieval
Berwick Upon Tweed Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/berwick-upon-tweed-castle-and-ramparts/,-2.012726621,55.77393435,Castle,,,,,,North East,Medieval/Post-medieval
Berwick Upon Tween Ramparts,English Heritage,https://www.english-heritage.org.uk/visit/places/berwick-upon-tweed-castle-and-ramparts/,-1.996786383,55.77034099,Castle,,,,,,North East,Post medieval
Binham Market Cross,English Heritage,https://www.english-heritage.org.uk/visit/places/Binham-Market-Cross,0.951535663,52.91716895,Structure,,,,,,East,Medieval
Binham Priory,English Heritage,https://www.english-heritage.org.uk/visit/places/Binham-Priory,0.948742499,52.91993592,Priory,,,,,,East,Medieval
Birdoswald Roman Fort,English Heritage,https://www.english-heritage.org.uk/visit/places/birdoswald-roman-fort-hadrians-wall/,-2.603241789,54.98979334,Structure/Fort,,,,,,Hadrian's Wall,Roman
Bishops Waltham Palace,English Heritage,https://www.english-heritage.org.uk/visit/places/Bishops-Waltham-Palace,-1.215474886,50.9533991,Palace,,,,,,South East,Medieval
Black Carts Turret,English Heritage,https://www.english-heritage.org.uk/visit/places/black-carts-turret-hadrians-wall/,-2.181947233,55.03592,Structure,,,,,,Hadrian's Wall,Roman
Black Middens Bastle House,English Heritage,https://www.english-heritage.org.uk/visit/places/Black-Middens-Bastle-House,-2.358207439,55.20373197,Structure,,,,,,North East,Post medieval
Blackbury Camp,English Heritage,https://www.english-heritage.org.uk/visit/places/Blackbury-Camp,-3.153301294,50.72551471,Structure,,,,,,South West,Prehistoric
Gloucester Blackfriars,English Heritage,https://www.english-heritage.org.uk/visit/places/blackfriars/,-2.249734716,51.86391813,Friary,,,,,,South West,Medieval
Blakeney Guildhall,English Heritage,https://www.english-heritage.org.uk/visit/places/Blakeney-Guildhall,1.019838921,52.95592311,House,,,,,,East,Medieval
Bolingbroke Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Bolingbroke-Castle,0.017078175,53.16503776,Castle,,,,,,East Midlands,Medieval/Post medieval
Bolsover Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Bolsover-Castle,-1.297339238,53.23126906,Castle,,,,,,East Midlands,Post medieval
Bolsover Cundy House,English Heritage,https://www.english-heritage.org.uk/visit/places/Bolsover-Cundy-House,-1.295811629,53.23305785,Structure (conduit house),,,,,,East Midlands,Post medieval
Boscobel House and the Royal Oak,English Heritage,https://www.english-heritage.org.uk/visit/places/Boscobel-House-and-the-Royal-Oak,-2.241007836,52.67126553,House,,,,,,West Midlands,Post medieval
Bow Bridge,English Heritage,https://www.english-heritage.org.uk/visit/places/Bow-Bridge,-3.189261173,54.13346592,Structure (bridge),,,,,,North West,Medieval
Bowes Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Bowes-Castle,-2.013869353,54.51680095,Castle,,,,,,North East,Medieval
Boxgrover Priory,English Heritage,https://www.english-heritage.org.uk/visit/places/boxgrove-priory/,-0.711070109,50.86079418,Priory,,,,,,South East,Medieval
Bradford on Avon Tithe Barn,English Heritage,https://www.english-heritage.org.uk/visit/places/Bradford-on-Avon-Tithe-Barn,-2.255501271,51.34240891,Structure,,,,,,South West,Medieval
Bramber Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Bramber-Castle,-0.316449015,50.88365141,Castle,,,,,,South East,Medieval
Bratton Camp and White Horse,English Heritage,https://www.english-heritage.org.uk/visit/places/Bratton-Camp-and-White-Horse,-2.144704645,51.2634708,Structure,,,,,,South West,Prehistoric/Post medieval
Brinkburn Priory,English Heritage,https://www.english-heritage.org.uk/visit/places/Brinkburn-Priory,-1.818943156,55.2787069,Priory,,,,,,North East,Medieval
Brodsworth Hall and Gardens,English Heritage,https://www.english-heritage.org.uk/visit/places/Brodsworth-Hall-and-Gardens,-1.237599793,53.55719535,House,,,,,,Yorkshire & the Humber,Post medieval
Brough Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Brough-Castle,-2.324399531,54.52175817,Castle,,,,,,North West,Medieval
Brougham Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Brougham-Castle,-2.719163038,54.65396074,Castle,,,,,,North West,Medieval
Brunton Turret,English Heritage,https://www.english-heritage.org.uk/visit/places/brunton-turret-hadrians-wall/,-2.123534225,55.02267867,Structure,,,,,,Hadrian's Wall,Roman
Buildwas Abbey,English Heritage,https://www.english-heritage.org.uk/visit/places/Buildwas-Abbey,-2.528957328,52.6352695,Abbey,,,,,,West Midlands,Medieval
Burgh Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Burgh-Castle,1.655865655,52.58372526,Fort,,,,,,East,Roman
Burton Agnes Manor House,English Heritage,https://www.english-heritage.org.uk/visit/places/Burton-Agnes-Manor-House,-0.317773433,54.0529896,Structure,,,,,,Yorkshire & the Humber,Medieval
Bury St Edmunds Abbey,English Heritage,https://www.english-heritage.org.uk/visit/places/Bury-St-Edmunds-Abbey,0.720185614,52.24464972,Abbey,,,,,,East,Medieval
Bushmead Priory,English Heritage,https://www.english-heritage.org.uk/visit/places/Bushmead-Priory,-0.368406486,52.23321826,Priory,,,,,,East,Medieval
"Dunster, Butter Cross",English Heritage,https://www.english-heritage.org.uk/visit/places/butter-cross/,-2.255501271,51.34240891,Structure,,,,,,South West,Medieval
Byland Abbey,English Heritage,https://www.english-heritage.org.uk/visit/places/Byland-Abbey,-1.159832751,54.20292082,Abbey,,,,,,Yorkshire & the Humber,Medieval
Caister Roman Fort,English Heritage,https://www.english-heritage.org.uk/visit/places/Caister-Roman-Fort,1.723726655,52.6499774,Fort,,,,,,East,Roman
Calshot Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Calshot-Castle,-1.307158952,50.81998975,Castle,,,,,,South East,Medieval
Camber Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Camber-Castle,0.735521556,50.93391958,Castle,,,,,,South East,Post medieval
Cantlop Bridge,English Heritage,https://www.english-heritage.org.uk/visit/places/Cantlop-Bridge,-2.715419832,52.65137086,Structure (bridge),,,,,,West Midlands,Post medieval
Carisbrooke Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Carisbrooke-Castle,-1.313354031,50.68783299,Castle,,,,,,South East,Medieval/Post medieval
Carlisle Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Carlisle-Castle,-2.943382806,54.89686559,Castle,,,,,,North West,Medieval
Carn Euny Ancient Village,English Heritage,https://www.english-heritage.org.uk/visit/places/Carn-Euny-Ancient-Village,-5.638100683,50.10234052,Structure,,,,,,South West,Prehistoric
Castle Acre Priory,English Heritage,https://www.english-heritage.org.uk/visit/places/castle-acre-castle-acre-priory/,0.68473859,52.70048088,Priory,,,,,,East,Medieval
Castle Acre Castle and Bailey Gate,English Heritage,https://www.english-heritage.org.uk/visit/places/Castle-Acre-Castle-and-Bailey-Gate,0.692363672,52.70390517,Castle,,,,,,East,Medieval
Castle Rising Castle,English Heritage,https://www.english-heritage.org.uk/visit/places/Castle-Rising-Castle,0.470573608,52.79324906,Castle,,,,,,East,Medieval
Castlerigg Stone Circle,English Heritage,https://www.english-heritage.org.uk/visit/places/Castlerigg-Stone-Circle,-3.099148124,54.60257764,Structure,,,,,,North West,Prehsitoric
Cawfields Milecastle,English Heritage,https://www.english-heritage.org.uk/visit/places/cawfields-roman-wall-hadrians-wall/,-2.445430883,54.99406827,Structure,,,,,,Hadrian's Wall,Roman